country,number,papers
United States,153, TEST US
United Kingdom,67, TEST UK
Australia,32, TEST AU
Germany,24, TEST GERMANY
Netherlands,23, TEST NL
Canada,22, TEST1
Mainland China,21, TEST1
Italy,16, TEST1
Switzerland,16, TEST1
Taiwan,11, TEST1
China,11, TEST1
Belgium,8, TEST1
France,8, TEST1
Ireland,8, TEST1
Malaysia,8, TEST1
Denmark,7, TEST1
Korea,7, TEST1
Sweden,7, TEST1
Finland,6, TEST1
India,6, TEST1
Singapore,6, TEST1
Indonesia,5, TEST1
Norway,5, TEST1
Portugal,5, TEST1
"Hong Kong, China",4, TEST1
Turkey,4, TEST1
New Zealand,3, TEST1
Romania,3, TEST1
Saudi Arabia,3, TEST1
Spain,3, TEST1
Thailand,3, TEST1
Ethiopia,2, TEST1
Greece,2, TEST1
Israel,2, TEST1
Kenya,2, TEST1
Nigeria,2, TEST1
Pakistan,2, TEST1
United Arab Emirates,2, TEST1
Cambodia,1, TEST1
Chile,1, TEST1
Colombia,1, TEST1
Cyprus,1, TEST1
Ghana,1, TEST1
Guatemala,1, TEST1
Mexico,1, TEST1
Oman,1, TEST1
Republic of Georgia,1, TEST1
South Africa,1, TEST1
Sri Lanka,1, TEST1
Sudan,1, TEST1
Uganda,1, TEST1
Vietnam,1, TEST1